Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
119	:	1625178480.844	     3.281	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 11
91	:	1625178471.432	    13.220	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 10
121	:	1625178481.522	     3.250	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 13
113	:	1625178478.891	     6.438	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 5
123	:	1625178482.178	     3.237	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 15
124	:	1625178482.549	     3.473	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 16
27	:	1625178455.504	    30.572	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 27
118	:	1625178480.405	     6.304	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 10
127	:	1625178483.482	     3.241	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 19
55	:	1625178461.059	    26.319	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 1
128	:	1625178483.920	     3.474	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 20
130	:	1625178484.655	     3.371	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 22
112	:	1625178478.439	     9.646	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 4
132	:	1625178485.333	     3.347	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 24
10	:	1625178452.135	    36.637	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 10
