Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
79	:	1625202062.043	     0.627	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 8 9
78	:	1625202061.845	     1.026	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 8 8
80	:	1625202062.241	     0.799	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 8 10
82	:	1625202062.637	     0.583	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 9 2
81	:	1625202062.439	     0.846	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 9 1
83	:	1625202062.835	     0.829	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 9 3
84	:	1625202063.033	     0.730	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 9 4
85	:	1625202063.231	     0.797	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 9 5
86	:	1625202063.429	     0.685	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 9 6
87	:	1625202063.627	     0.554	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 9 7
88	:	1625202063.825	     0.644	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 9 8
95	:	1625202065.210	     1.236	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 10 5
91	:	1625202064.418	     2.128	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 10 1
94	:	1625202065.012	     1.603	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 10 4
90	:	1625202064.220	     2.504	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 9 10
89	:	1625202064.023	     2.746	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 9 9
98	:	1625202065.804	     0.999	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 10 8
102	:	1625202066.597	     0.525	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 11 2
92	:	1625202064.616	     2.506	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 10 2
103	:	1625202066.794	     0.498	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 11 3
104	:	1625202066.993	     0.450	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 11 4
107	:	1625202067.587	     0.459	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 11 7
106	:	1625202067.389	     0.677	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 11 6
108	:	1625202067.785	     0.536	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 11 8
105	:	1625202067.191	     1.151	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 11 5
